Tournament	Course	Location	Date	Score	Ranking	Yardage	Notes
Summit Cup - Day 2 (Ryder Cup Event)	Blackstone Golf Club	Aurora, CO	10/19/2025	34 - Foursome Scramble - 9 holes; 41 - Singles - 9 holes	Won (13.5 Blue team - 11.5 Red Team)	6,787	Invitation only
Summit Cup - Day 1 (Ryder Cup Event)	Black Bear Golf Club	Parker, CO	10/18/2025	35 - Fourball - 9 holes; 41 - Foursome 9 holes		6,740	Invitation only
Bobblehead Invite (Varsity)	Broadlands Golf Course	Broomfield, CO	09/30/2025	76	20th out of 134	6,661	Played with Strep Throat
Jeffco@ Fox Hollow (Varsity)	Fox Hollow Golf Course	Morrison, CO	09/29/2025	87	64th out of 85	6,379	Played with Strep Throat
3A Jeff @ Broken Tee (Varsity)	Broken Tee Golf Course	Englewood, CO	09/23/2025	88	15th out of 24	6,797	Rained hard the entire tournament. Post school shooting at my high school, still regaining my focus.
Jeffco@ Westwoods (Varsity)	Westwoods Golf Course	Arvada, CO	09/16/2025	86	48th out of 85	6,687	Post school shooting at my high school, still regaining focus.
COPGA Jr JPS @ Highland Hills	Highland Hills Golf Course	Greeley, CO	09/13/2025	84	18th out of 31	6,494	Post school shooting at my high school, still regaining focus.
Cardinal Invitational (Varsity)	Plum Creek Golf Course	Aurora, CO	09/08/2025	83	26th out of 84	6,458	
SJT@ The Ranch (Player - Day 2)	The Ranch Country Club	Westminster, CO	09/07/2025	88	6th out of 7	6,491	
SJT@ The Ranch (Player - Day 1)	The Ranch Country Club	Westminster, CO	09/06/2025	86		6,491	
RJ Invite (Varsity)	Murphy Creek Golf Course	Aurora, CO	09/02/2025	84	23rd out of 43	6,893	
Jeffco@ Indian Tree (Varsity)	Indian Tree Golf Course	Arvada, CO	08/29/2025	79	36th out of 94	6,465	
Green Mountain Invitational (Varsity)	Bear Creek Golf Club	Morrison, CO	08/18/2025	96	74th out of 92	6,555	
Sun Devil Invitational (Varsity)	Murphy Creek Golf Course	Aurora, CO	08/13/2025	75	19th out of 109	6,893	
3A Jeff @ Applewood (Varsity)	Applewood Golf Course	Golden, CO	08/11/2025	89	14th out of 25	6,121	
SJT@ Cheyenne Shadows (Player - Day 2)	Cheyenne Shadows Golf Course	Ft. Carson, CO	08/10/2025	82	2nd out of 9	6,690	
SJT@ Cheyenne Shadows (Player - Day 1)	Cheyenne Shadows Golf Course	Ft. Carson, CO	08/09/2025	84		6,690	
SJT@ Indian Peak (Player - Day 2)	Indian Peak Golf Course	Lafayette, CO	07/29/2025	82	5th out of 11	6,308	
SJT@ Indian Peak (Player - Day 1)	Indian Peak Golf Course	Lafayette, CO	07/28/2025	81		6,308	
SJT@ Coal Creek (Player - Day 2)	Coal Creek Golf Club	Louisville, CO	07/25/2025	99	14th out of 14	6,407	Recovering from nasal surgery.
SJT@ Coal Creek (Player - Day 1)	Coal Creek Golf Club	Louisville, CO	07/24/2025	85		6,407	Recovering from nasal surgery.
SJT@ Wellshire (Player - Day 1)	Wellshire Golf Course	Denver, CO	07/16/2025	83	2nd out of 18	6,483	Second day of tournament cancelled due to lightning.
SJT@ Saddle Rock (Player - Day 2)	Saddle Rock Golf Club	Aurora, CO	06/19/2025	89	10th out of 21	6,346	
SJT@ Saddle Rock (Player - Day 1)	Saddle Rock Golf Club	Aurora, CO	06/18/2025	84		6,346	
SJT@ Indian Tree (Player - Day 2)	Indian Tree Golf Course	Arvada, CO	06/12/2025	86	5th out of 10	6,465	
SJT@ Indian Tree (Player - Day 1)	Indian Tree Golf Course	Arvada, CO	06/11/2025	83		6,465	
SJT@ Eisenhower Blue (Player - Day 2)	Eisenhower Golf Club (Blue)	Colorado Springs, CO	06/03/2025	86	2nd out of 16	6,474	Rained hard the entire day.
SJT@ Eisenhower Blue (Player - Day 1)	Eisenhower Golf Club (Blue)	Colorado Springs, CO	06/02/2025	90		6,474	Rained hard intermittently throughout the day.
SJT@ Legacy Ridge (Player - Day 2)	Legacy Ridge Golf Course	Westminster, CO	05/28/2025	87	7th out of 11	6,135	
SJT@ Legacy Ridge (Player - Day 1)	Legacy Ridge Golf Course	Westminster, CO	05/27/2025	95		6,135	
PGA JPS/ Notah Begay Qualifier @ Olde Course	The Olde Course at Loveland	Loveland, CO	05/10/2025	90	58th out of 78	6,399	
PGA JPS/ Notah Begay Qualifier @ Coyote Creek	Coyote Creek Golf Course	Fort Lupton, CO	04/27/2025	81	25th out of 47	6,399	
COPGA Jr. Spring Q-School @ Collindale (Day 2)	Collindale Golf Course	Fort Collins, CO	04/13/2025	84	67th out of 105	7,101	
COPGA Jr. Spring Q-School @ Collindale (Day 1)	Collindale Golf Course	Fort Collins, CO	04/12/2025	91		7,101	
